activity_id,lesson,title,prompt_source_page,status,image_paths,image_source_pages
216,6,Additional intervention materials,39,Assigned original module visuals,assets/images/level1/lesson06/page-039.jpg; assets/images/level1/lesson06/page-040.jpg; assets/images/level1/lesson06/page-041.jpg,page-039.jpg: ; page-040.jpg: ; page-041.jpg: 
217,7,Teacher-guided lesson checklist,66,Assigned original module visuals,assets/images/level1/lesson07/page-066.jpg; assets/images/level1/lesson07/page-067.jpg; assets/images/level1/lesson07/page-068.jpg; assets/images/level1/lesson07/page-069.jpg; assets/images/level1/lesson07/page-070.jpg; assets/images/level1/lesson07/page-071.jpg,page-066.jpg: ; page-067.jpg: ; page-068.jpg: ; page-069.jpg: ; page-070.jpg: ; page-071.jpg: 
218,7,Additional intervention materials,43,Assigned original module visuals,assets/images/level1/lesson07/page-043.jpg; assets/images/level1/lesson07/page-044.jpg; assets/images/level1/lesson07/page-045.jpg,page-043.jpg: ; page-044.jpg: ; page-045.jpg: 
219,8,Teacher-guided lesson checklist,72,Assigned original module visuals,assets/images/level1/lesson08/page-072.jpg; assets/images/level1/lesson08/page-073.jpg; assets/images/level1/lesson08/page-074.jpg,page-072.jpg: ; page-073.jpg: ; page-074.jpg: 
220,8,Additional intervention materials,45,Assigned original module visuals,assets/images/level1/lesson08/page-045.jpg,page-045.jpg: 
221,9,Teacher-guided lesson checklist,75,Assigned original module visuals,assets/images/level1/lesson09/page-075.jpg; assets/images/level1/lesson09/page-076.jpg; assets/images/level1/lesson09/page-077.jpg,page-075.jpg: ; page-076.jpg: ; page-077.jpg: 
222,10,Teacher-guided lesson checklist,78,Assigned original module visuals,assets/images/level1/lesson10/page-078.jpg; assets/images/level1/lesson10/page-079.jpg; assets/images/level1/lesson10/page-080.jpg,page-078.jpg: ; page-079.jpg: ; page-080.jpg: 
223,11,Teacher-guided lesson checklist,81,Assigned original module visuals,assets/images/level1/lesson11/page-081.jpg; assets/images/level1/lesson11/page-082.jpg; assets/images/level1/lesson11/page-083.jpg,page-081.jpg: ; page-082.jpg: ; page-083.jpg: 
224,12,Teacher-guided lesson checklist,83,Assigned original module visuals,assets/images/level1/lesson12/page-083.jpg; assets/images/level1/lesson12/page-084.jpg; assets/images/level1/lesson12/page-085.jpg,page-083.jpg: ; page-084.jpg: ; page-085.jpg: 
225,12,Additional intervention materials,42,Assigned original module visuals,assets/images/level1/lesson12/page-042.jpg,page-042.jpg: 
